model,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,train_time_sec,n_topics,feature_type,smote
RF_k5,0.5743,0.6037,0.4344,0.6639,0.5743,0.47,5,single_topic,yes
SVM_k5,0.3135,0.3473,0.324,0.7577,0.3135,6.45,5,single_topic,yes
XGB_k5,0.5568,0.5933,0.4557,0.6881,0.5568,0.69,5,single_topic,yes
RF_k10,0.5959,0.6219,0.475,0.6747,0.5959,0.61,10,single_topic,yes
SVM_k10,0.3622,0.4026,0.3648,0.7584,0.3622,6.47,10,single_topic,yes
XGB_k10,0.5892,0.6171,0.4844,0.6798,0.5892,0.48,10,single_topic,yes
RF_k25,0.6473,0.6618,0.507,0.6904,0.6473,0.73,25,single_topic,yes
SVM_k25,0.4703,0.5035,0.4353,0.7116,0.4703,7.43,25,single_topic,yes
XGB_k25,0.6203,0.6423,0.4941,0.6868,0.6203,0.85,25,single_topic,yes
RF_k50,0.6446,0.658,0.499,0.6817,0.6446,0.91,50,single_topic,yes
SVM_k50,0.5284,0.5643,0.4664,0.7074,0.5284,6.61,50,single_topic,yes
XGB_k50,0.6338,0.6509,0.5004,0.6811,0.6338,1.45,50,single_topic,yes
RF_k100,0.6459,0.6561,0.4851,0.6737,0.6459,1.23,100,single_topic,yes
SVM_k100,0.5784,0.6068,0.4798,0.6821,0.5784,6.98,100,single_topic,yes
XGB_k100,0.6635,0.6727,0.5116,0.6923,0.6635,3.57,100,single_topic,yes
Stacking_k5,0.5946,0.6182,0.4441,0.662,0.5946,20.4,5,single_topic_stacking,yes
Stacking_k10,0.6297,0.6484,0.4937,0.6821,0.6297,20.33,10,single_topic_stacking,yes
Stacking_k25,0.6554,0.6669,0.5087,0.6924,0.6554,21.0,25,single_topic_stacking,yes
Stacking_k50,0.6581,0.6654,0.4995,0.6845,0.6581,23.98,50,single_topic_stacking,yes
Stacking_k100,0.6608,0.6629,0.4801,0.676,0.6608,38.32,100,single_topic_stacking,yes
Stacking_TF-IDF,0.5703,0.563,0.3042,0.5582,0.5703,13.24,0,tfidf_baseline,yes
Stacking_k5_NoSMOTE,0.7716,0.7143,0.4493,0.6896,0.7716,4.76,5,single_topic_stacking_nosmote,no
Stacking_k10_NoSMOTE,0.7662,0.7114,0.4475,0.681,0.7662,5.97,10,single_topic_stacking_nosmote,no
Stacking_k25_NoSMOTE,0.7568,0.7081,0.4562,0.7111,0.7568,7.85,25,single_topic_stacking_nosmote,no
Stacking_k50_NoSMOTE,0.7622,0.7222,0.5011,0.7308,0.7622,12.32,50,single_topic_stacking_nosmote,no
Stacking_k100_NoSMOTE,0.7527,0.7079,0.4704,0.7106,0.7527,19.5,100,single_topic_stacking_nosmote,no
MultiTopic_Concat_SMOTE,0.6649,0.6684,0.4957,0.6842,0.6649,74.69,190,multitopic_concat,yes
MultiTopic_Concat_NoSMOTE,0.75,0.7062,0.4688,0.7055,0.75,40.57,190,multitopic_concat_nosmote,no
